timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
1797.00;164.73;2624.40;0.81;1.20;0.07;122.00;HBEFA3/PC_G_EU4;0.00;837.12;veh1541;370617120#0_3;55.93;57.58;!veh1541!var#1;0.00;veh_passenger;3.00;4895.70;1082.78
1797.00;0.00;0.00;0.00;0.00;0.00;235.51;HBEFA3/PC_G_EU4;0.00;0.00;veh1545;195407521_1;51.22;15.26;!veh1545!var#1;3.53;veh_passenger;0.00;4205.98;1809.46
1797.00;47.76;2572.19;0.27;0.96;0.03;235.08;HBEFA3/PC_G_EU4;0.00;820.43;veh1546;312357351#1_1;61.20;68.70;!veh1546!var#1;8.12;veh_passenger;0.00;4063.16;1703.80
1797.00;164.78;2624.72;0.81;1.20;0.07;218.12;HBEFA3/PC_G_EU4;0.00;837.22;veh1547;1104460750_3;55.94;12.87;!veh1547!var#1;0.00;veh_passenger;24.00;4432.86;2710.45
1797.00;90.51;6518.66;0.57;2.72;0.12;89.04;HBEFA3/PC_G_EU4;0.00;2079.14;veh1550;25360667#2_2;67.71;43.50;!veh1550!var#1;12.33;veh_passenger;0.00;5384.52;2140.88
1797.00;106.52;3938.86;0.58;1.67;0.07;98.19;HBEFA3/PC_G_EU4;0.00;1256.34;veh1551;:cluster_29271377_29271394_2992789648_2992789649_#7more_35_2;63.75;7.85;!veh1551!var#1;5.56;veh_passenger;0.00;5510.28;1554.04
1797.00;164.78;2624.72;0.81;1.20;0.07;268.41;HBEFA3/PC_G_EU4;0.00;837.22;veh1553;:9828787601_0_1;55.94;3.53;!veh1553!var#1;0.00;veh_passenger;42.00;3451.46;2829.34
1797.00;164.78;2624.72;0.81;1.20;0.07;354.96;HBEFA3/PC_G_EU4;0.00;837.22;veh1558;-291696983#1_1;55.94;35.65;!veh1558!var#1;0.00;veh_passenger;16.00;1858.40;2872.25
1797.00;164.78;2624.72;0.81;1.20;0.07;298.22;HBEFA3/PC_G_EU4;0.00;837.22;veh1559;329612224_1;55.94;91.32;!veh1559!var#1;0.00;veh_passenger;9.00;4940.14;2211.82
1797.00;164.78;2624.72;0.81;1.20;0.07;304.70;HBEFA3/PC_G_EU4;0.00;837.22;veh1560;299605821_2;55.94;39.21;!veh1560!var#1;0.00;veh_passenger;296.00;4691.68;2375.64
1797.00;0.00;0.00;0.00;0.00;0.00;121.24;HBEFA3/PC_G_EU4;0.00;0.00;veh1561;31609650#3_1;61.92;31.71;!veh1561!var#1;11.62;veh_passenger;0.00;4788.91;1142.96
1797.00;138.92;3124.09;0.71;1.38;0.07;282.08;HBEFA3/PC_G_EU4;0.00;996.48;veh1562;-1144042325#0_0;62.59;20.91;!veh1562!var#1;2.15;veh_passenger;0.00;5124.36;1325.65
1797.00;164.78;2624.72;0.81;1.20;0.07;84.96;HBEFA3/PC_G_EU4;0.00;837.22;veh1563;1126234503#0_1;55.94;18.13;!veh1563!var#1;0.00;veh_passenger;6.00;2626.64;1512.19
1797.00;164.78;2624.72;0.81;1.20;0.07;195.88;HBEFA3/PC_G_EU4;0.00;837.22;veh1564;1055087870_1;55.94;67.96;!veh1564!var#1;0.00;veh_passenger;67.00;5982.11;1175.63
1797.00;164.78;2624.72;0.81;1.20;0.07;34.22;HBEFA3/PC_G_EU4;0.00;837.22;veh1565;188044903#0_0;55.94;38.49;!veh1565!var#1;0.00;veh_passenger;18.00;4403.49;1991.94
1797.00;164.78;2624.72;0.81;1.20;0.07;38.84;HBEFA3/PC_G_EU4;0.00;837.22;veh1567;:266540878_0_0;55.94;1.23;!veh1567!var#1;0.00;veh_passenger;78.00;4280.96;2450.33
1797.00;164.78;2624.72;0.81;1.20;0.07;37.98;HBEFA3/PC_G_EU4;0.00;837.22;veh1568;1105526112#1_1;55.94;96.77;!veh1568!var#1;0.00;veh_passenger;66.00;4205.75;2361.14
1797.00;164.78;2624.72;0.81;1.20;0.07;260.69;HBEFA3/PC_G_EU4;0.00;837.22;veh1569;671026861#1_1;55.94;13.09;!veh1569!var#1;0.00;veh_passenger;44.00;5093.96;2724.13
1797.00;164.78;2624.72;0.81;1.20;0.07;83.77;HBEFA3/PC_G_EU4;0.00;837.22;veh1570;1126234503#0_1;55.94;33.13;!veh1570!var#1;0.00;veh_passenger;12.00;2641.57;1513.61
